field_id,date_of_image,source_dataset,raw_row_index,soil_moisture_flag,latitude,longitude,NDVI,GNDVI,NDWI,SAVI,soil_moisture,temperature,rainfall,crop_type,year,month,day_of_year,month_sin,month_cos,doy_sin,doy_cos,field_obs_number,NDVI_field_expanding_mean,GNDVI_field_expanding_mean,SAVI_field_expanding_mean,soil_moisture_field_expanding_mean,rainfall_field_expanding_mean,temperature_field_expanding_mean,NDVI_field_expanding_std,GNDVI_field_expanding_std,SAVI_field_expanding_std,soil_moisture_field_expanding_std,rainfall_field_expanding_std,temperature_field_expanding_std,yield
Field_1,2023-01-01,dataset1_field_satellite,0,ok,22.62523109,88.49792521,0.060189961,0.084800905,-0.084800905,0.09027956,46.11935326,9.884228735,1.662354196,Rice,2023,1,1,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,1,,,,,,,,,,,,,40.21803063
Field_1,2023-01-04,dataset1_field_satellite,6,ok,22.62523109,88.49792521,0.511422904,0.467237584,-0.467237584,0.767016104,21.98207972,14.59747283,17.52762933,Rice,2023,1,4,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,2,0.060189961,0.084800905,0.09027956,46.11935326,1.662354196,9.884228735,,,,,,,53.44668506
Field_1,2023-01-05,dataset1_field_satellite,8,ok,22.62523109,88.49792521,0.499145315,0.455278622,-0.455278622,0.748619438,22.71814608,11.23455428,16.86155872,Rice,2023,1,5,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,3,0.2858064325,0.2760192445,0.428647832,34.05071649,9.594991763,12.2408507825,0.3190698738900629,0.2704235690953629,0.4785249993391484,17.06762979948862,11.218443632641712,3.3327668609619505,52.78942541
Field_1,2023-01-16,dataset1_field_satellite,1,ok,22.62523109,88.49792521,0.21395714,0.222008568,-0.222008568,0.320895526,37.54252546,13.96707263,8.446302193,Rice,2023,1,16,0.49999999999999994,0.8660254037844387,0.2719581575341055,0.9623090774541486,4,0.3569193933333333,0.3357723703333333,0.535305034,30.273193019999997,12.017180748666666,11.905418615,0.2570485397888109,0.21742990020165065,0.38551311743139477,13.728111457349058,8.973724823964375,2.427181841507622,30.8703379
Field_1,2023-01-31,dataset1_field_satellite,2,ok,22.62523109,88.49792521,0.403306358,0.431204267,-0.431204267,0.604837027,24.92627906,13.59014742,3.862833237,Rice,2023,1,31,0.49999999999999994,0.8660254037844387,0.5086709438521044,0.8609610158889943,5,0.32117882999999997,0.30733141975,0.481702657,32.09052613,11.12446110975,12.420832118749999,0.22171795749234202,0.18642082773875066,0.33252534001884543,11.783526409967777,7.54141575295954,2.233848423809076,45.33005008
Field_1,2023-02-03,dataset1_field_satellite,4,ok,22.62523109,88.49792521,0.375137647,0.387985002,-0.387985002,0.562590743,27.42092711,11.00770651,9.496210107,Rice,2023,2,34,0.8660254037844386,0.5000000000000001,0.5524353131676196,0.8335557718385699,6,0.33760433559999997,0.3321059892,0.506329531,30.657676716000005,9.6721355352,12.654695178999999,0.19549456687337924,0.1706852079656145,0.2931931802260175,10.69597626244593,7.293898925931156,2.004000683673335,34.54264576
Field_1,2023-02-15,dataset1_field_satellite,3,ok,22.62523109,88.49792521,0.418186528,0.444132119,-0.444132119,0.627143696,24.1141571,12.34335542,16.62354196,Rice,2023,2,46,0.8660254037844386,0.5000000000000001,0.7116566222817746,0.7025274741691571,7,0.3438598875,0.34141915799999994,0.5157063996666666,30.118218448333334,9.6428146305,12.3801970675,0.1755257591325264,0.15436049641406255,0.2632438921243725,9.657598971833991,6.524256856230776,1.914395536829564,49.71178105
Field_1,2023-03-17,dataset1_field_satellite,5,ok,22.62523109,88.49792521,0.450441814,0.414487963,-0.414487963,0.675558913,25.29849811,29.05703078,11.03814476,Rice,2023,3,76,1.0,6.123233995736766e-17,0.9657399376548549,0.2595117970697999,8,0.354477979,0.3560924381428571,0.5316260134285714,29.26049539857143,10.640061391857143,12.374933975000001,0.16267641860123636,0.14616122979567875,0.24397095660540102,9.103525144760729,6.5140704626976325,1.7476515081272468,48.32423291
Field_1,2023-04-16,dataset1_field_satellite,7,ok,22.62523109,88.49792521,0.478374933,0.470818651,-0.470818651,0.717455656,22.13672953,26.89658942,16.57368075,Rice,2023,4,106,0.8660254037844387,-0.4999999999999998,0.9679377830240642,-0.25119006388481935,9,0.366473458375,0.36339187875,0.549617625875,28.7652457375,10.689821812875,14.460196075625,0.15438339494257555,0.13688494294230924,0.23153465048713115,8.543838758076417,6.032499429044216,6.11592212820793,51.58966574
Field_1,2023-05-31,dataset1_field_satellite,9,ok,22.62523109,88.49792521,0.495261375,0.467180972,-0.467180972,0.742791982,22.15002624,28.76547304,10.38336348,Rice,2023,5,151,0.49999999999999994,-0.8660254037844387,0.5160623910158528,-0.8565509959010036,10,0.37890695555555554,0.3753281867777778,0.5682662958888889,28.028743936666665,11.343583917,15.842017558333332,0.1491518696630914,0.13295706336176832,0.22368999445383225,8.291830151250348,5.974011398578929,7.064971056853935,38.43404016
Field_1,2023-10-13,dataset1_field_satellite,10,ok,22.62523109,88.49792521,0.440812789,0.368312131,-0.368312131,0.661123118,27.75477796,13.70434524,16.87002572,Rice,2023,10,286,-0.8660254037844386,0.5000000000000001,-0.9778483415056568,0.20931464596304888,11,0.39054239749999997,0.3845134653,0.5857188645,27.440872167,11.2475618733,17.1343631065,0.14535579246333413,0.12867438937102438,0.21799872643647938,8.03560802953445,5.640531086910926,7.814691717111562,51.90264653
Field_1,2023-10-28,dataset1_field_satellite,11,ok,22.62523109,88.49792521,0.597514171,0.534746658,-0.534746658,0.896115678,17.65553208,29.52973786,17.38086801,Rice,2023,10,301,-0.8660254037844386,0.5000000000000001,-0.8919813464595487,0.45207220393230374,12,0.3951124330909091,0.38304061672727274,0.5925737966363637,27.469409057272728,11.758694950272728,16.822543300454544,0.1387271178995059,0.12216894345170307,0.20805766339087328,7.623834642688512,5.613186180263343,7.485453458275412,55.62711785
Field_1,2023-11-27,dataset1_field_satellite,13,ok,22.62523109,88.49792521,0.422288701,0.408978993,-0.408978993,0.633314128,25.86733441,27.22968767,16.87002572,Rice,2023,11,331,-0.5000000000000004,0.8660254037844384,-0.5524353131676203,0.8335557718385695,13,0.4119792445833333,0.3956827868333333,0.6178689534166667,26.65158597583333,12.227209371916667,17.881476180416666,0.14460124605165464,0.12444397674156607,0.21686599281164684,7.801600726221616,5.5926359998667134,8.024603429470895,50.55682916
Field_1,2023-12-11,dataset1_field_satellite,12,ok,22.62523109,88.49792521,0.529307362,0.504987883,-0.504987883,0.793833125,19.87173275,12.30010937,10.59880157,Rice,2023,12,345,-2.4492935982947064e-16,1.0,-0.33752289959411347,0.941317317512847,14,0.4127722796923077,0.39670557192307687,0.6190570437692308,26.591258932307692,12.584349091,18.60056937192308,0.1384746767124219,0.11920309236649403,0.2076775646635483,7.472630347616132,5.507199539487504,8.108656305774367,39.26865558
Field_1,2023-12-12,dataset1_field_satellite,14,ok,22.62523109,88.49792521,0.501731263,0.482503444,-0.482503444,0.752461793,21.30151768,8.42731778,10.40500137,Rice,2023,12,346,-2.4492935982947064e-16,1.0,-0.32126966169236515,0.9469877530760751,15,0.42109621414285714,0.4044400227142857,0.6315410495714285,26.11129277642857,12.442524268071429,18.15053651464286,0.13663911707893986,0.11812642557296743,0.2049248311216732,7.400672208081092,5.317690072877535,7.970445732353417,38.45490555
Field_1,2023-12-27,dataset1_field_satellite,15,ok,22.62523109,88.49792521,0.445926395,0.430894417,-0.430894417,0.668751365,24.50682826,14.34964174,16.74302073,Rice,2023,12,361,-2.4492935982947064e-16,1.0,-0.06880242680232064,0.9976303053065857,16,0.42647188406666664,0.40964425080000005,0.6396024324666667,25.790641103333332,12.306689408200002,17.502321932333334,0.1333046381699523,0.11560020987861089,0.1999234605528121,7.238789425012273,5.151189135725048,8.080409809409463,51.04716572
